Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2019-2020,Mika Zibanejad,NYR,F,57.0,243.0,7.0,172.0,169.0,347.0,63.0,22.0,109.0,296.0,81.0,221.0,90.0,8.0,First Line,57,1232.8333333333,41,34,75,22.87,57.50,45.34,26,1993-04-18,SWE,SWE,74,202,2011,1,6,8476459.0
2019-2020,Mikael Backlund,CGY,F,82.0,283.0,120.0,124.0,69.0,258.0,91.0,215.0,48.0,227.0,361.0,323.0,112.0,126.0,Second Line,70,1256.1833333333,16,29,45,18.76,52.13,50.79,30,1989-03-17,SWE,SWE,72,206,2007,1,24,8474150.0
2019-2020,Mikael Granlund,NSH,F,220.0,97.0,123.0,84.0,95.0,135.0,204.0,245.0,287.0,135.0,160.0,327.0,,119.0,Second Line,63,1121.55,17,13,30,16.51,47.30,52.24,27,1992-02-26,FIN,FIN,70,185,2010,1,9,8475798.0
2019-2020,Mike Hoffman,FLA,F,215.0,360.0,26.0,,289.0,265.0,124.0,104.0,276.0,67.0,226.0,354.0,,35.0,Second Line,69,1161.8,29,30,59,17.13,49.30,46.29,29,1989-11-24,CAN,CAN,72,190,2009,5,130,8474884.0
2019-2020,Mikko Koivu,MIN,F,309.0,6.0,78.0,151.0,182.0,14.0,356.0,390.0,200.0,326.0,394.0,367.0,30.0,201.0,Second Line,55,856.35,4,17,21,7.83,54.35,54.67,36,1983-03-12,FIN,FIN,75,213,2001,1,6,8469459.0
2019-2020,Mikko Rantanen,COL,F,94.0,111.0,46.0,,41.0,213.0,241.0,159.0,74.0,27.0,187.0,318.0,,21.0,First Line,42,795.88333333333,19,22,41,10.65,51.67,53.86,22,1996-10-29,FIN,FIN,76,215,2015,1,10,8478420.0
2019-2020,Milan Lucic,CGY,F,357.0,309.0,172.0,,219.0,151.0,395.0,408.0,250.0,311.0,381.0,19.0,,349.0,Fourth Line,68,906.61666666667,8,12,20,9.88,51.61,50.23,31,1988-06-07,CAN,CAN,75,240,2006,2,50,8473473.0
2019-2020,Miles Wood,NJD,F,108.0,403.0,258.0,,290.0,408.0,18.0,165.0,147.0,369.0,259.0,105.0,,205.0,Fourth Line,68,899.86666666667,11,12,23,12.56,38.36,43.76,23,1995-09-13,USA,USA,74,195,2013,4,100,8477425.0
2019-2020,Mitch Marner,TOR,F,34.0,290.0,13.0,68.0,8.0,302.0,176.0,262.0,2.0,111.0,178.0,392.0,,20.0,First Line,59,1271.6833333333,16,51,67,14.99,48.28,54.7,22,1997-05-05,CAN,CAN,72,181,2015,1,4,8478483.0
2019-2020,Mitchell Stephens,TBL,F,203.0,153.0,,105.0,73.0,88.0,178.0,298.0,222.0,375.0,325.0,170.0,12.0,407.0,Fourth Line,38,409.83333333333,3,3,6,4.06,38.24,55.36,22,1997-02-05,CAN,CAN,71,190,2015,2,33,8478477.0
2019-2020,Morgan Frost,PHI,F,146.0,279.0,266.0,,63.0,368.0,172.0,385.0,65.0,3.0,16.0,401.0,125.0,306.0,Third Line,20,273.66666666667,2,5,7,3.37,46.15,49.31,20,1999-05-14,CAN,CAN,71,170,2017,1,27,8480028.0
2019-2020,Nate Thompson,MTL,F,401.0,156.0,,128.0,338.0,178.0,401.0,401.0,347.0,399.0,379.0,74.0,18.0,387.0,Fourth Line,70,895.26666666667,4,11,15,7.47,45.65,47.97,34,1984-10-05,USA,USA,73,205,2003,6,183,8470775.0
2019-2020,Nate Thompson,PHI,F,401.0,156.0,,128.0,338.0,178.0,401.0,401.0,347.0,399.0,379.0,74.0,18.0,387.0,Fourth Line,70,895.26666666667,4,11,15,7.47,45.65,47.97,34,1984-10-05,USA,USA,73,205,2003,6,183,8470775.0
2019-2020,Nathan Gerbe,CBJ,F,242.0,356.0,,,346.0,211.0,97.0,241.0,220.0,336.0,145.0,125.0,,271.0,Third Line,30,412.6,4,6,10,4.05,37.14,49.63,32,1987-07-24,USA,USA,64,176,2005,5,142,8471804.0
2019-2020,Nathan MacKinnon,COL,F,2.0,299.0,24.0,,44.0,207.0,6.0,41.0,3.0,25.0,5.0,334.0,169.0,1.0,First Line,69,1464.35,35,58,93,24.81,60.53,55.2,24,1995-09-01,CAN,CAN,72,200,2013,1,1,8477492.0
2019-2020,Nazem Kadri,COL,F,66.0,372.0,40.0,,141.0,286.0,48.0,24.0,184.0,219.0,184.0,154.0,28.0,98.0,Second Line,51,888.71666666667,19,17,36,13.37,64.52,46.21,28,1990-10-06,CAN,CAN,72,185,2009,1,7,8475172.0
2019-2020,Nic Dowd,WSH,F,301.0,34.0,,14.0,202.0,45.0,359.0,270.0,296.0,308.0,413.0,38.0,77.0,372.0,Fourth Line,56,606.86666666667,7,8,15,5.23,61.11,57.25,29,1990-05-27,USA,USA,73,193,2009,7,198,8475343.0
2019-2020,Nick Bonino,NSH,F,156.0,32.0,232.0,59.0,196.0,219.0,335.0,55.0,146.0,414.0,347.0,395.0,40.0,168.0,Second Line,67,1106.7833333333,18,17,35,13.02,62.67,52.74,31,1988-04-20,USA,USA,73,195,2007,6,173,8474009.0
2019-2020,Nick Cousins,VGK,F,175.0,46.0,193.0,,122.0,106.0,115.0,305.0,139.0,225.0,128.0,123.0,,237.0,Third Line,65,878.21666666667,10,15,25,12.94,50.00,56.91,26,1993-07-20,CAN,CAN,71,192,2011,3,68,8476393.0
2019-2020,Nick Cousins,MTL,F,175.0,46.0,193.0,,122.0,106.0,115.0,305.0,139.0,225.0,128.0,123.0,,237.0,Third Line,65,878.21666666667,10,15,25,12.94,50.00,56.91,26,1993-07-20,CAN,CAN,71,192,2011,3,68,8476393.0
2019-2020,Nick Foligno,CBJ,F,277.0,50.0,234.0,36.0,226.0,78.0,260.0,234.0,313.0,340.0,312.0,39.0,95.0,173.0,First Line,67,1250.7333333333,10,21,31,15.32,54.55,54.05,31,1987-10-31,USA,USA,72,210,2006,1,28,8473422.0
2019-2020,Nick Paul,OTT,F,222.0,130.0,,,353.0,270.0,125.0,176.0,199.0,390.0,74.0,57.0,53.0,213.0,Third Line,56,808.75,9,11,20,10.13,53.19,46.4,24,1995-03-20,CAN,CAN,75,223,2013,4,101,8477426.0
2019-2020,Nick Ritchie,ANA,F,172.0,330.0,119.0,,127.0,263.0,237.0,212.0,130.0,91.0,419.0,58.0,,215.0,Third Line,48,679.71666666667,9,12,21,10.84,52.17,51.14,23,1995-12-05,CAN,CAN,75,236,2014,1,10,8477941.0
2019-2020,Nick Ritchie,BOS,F,172.0,330.0,119.0,,127.0,263.0,237.0,212.0,130.0,91.0,419.0,58.0,,215.0,Third Line,48,679.71666666667,9,12,21,10.84,52.17,51.14,23,1995-12-05,CAN,CAN,75,236,2014,1,10,8477941.0
2019-2020,Nick Schmaltz,ARI,F,241.0,163.0,203.0,,159.0,328.0,382.0,349.0,62.0,19.0,164.0,416.0,160.0,175.0,Second Line,70,1087.45,11,34,45,9.69,56.16,49.26,23,1996-02-23,USA,USA,72,181,2014,1,20,8477951.0
2019-2020,Nick Shore,TOR,F,409.0,195.0,,140.0,409.0,63.0,345.0,392.0,384.0,415.0,414.0,160.0,31.0,415.0,Fourth Line,63,578.28333333333,3,3,6,3.13,55.00,39.93,26,1992-09-26,USA,USA,73,198,2011,3,82,
2019-2020,Nick Suzuki,MTL,F,263.0,94.0,171.0,,261.0,42.0,249.0,348.0,149.0,163.0,113.0,237.0,128.0,158.0,Second Line,71,1135.2666666667,13,28,41,13.35,43.28,52.89,20,1999-08-10,CAN,CAN,71,208,2017,1,13,8480018.0
2019-2020,Nicklas Backstrom,WSH,F,144.0,249.0,190.0,,47.0,283.0,297.0,350.0,45.0,218.0,212.0,350.0,101.0,63.0,First Line,61,1159.15,12,42,54,12.84,50.00,53.27,31,1987-11-23,SWE,SWE,73,202,2006,1,4,8473563.0
2019-2020,Nico Hischier,NJD,F,167.0,182.0,129.0,63.0,149.0,324.0,191.0,106.0,242.0,175.0,9.0,277.0,129.0,113.0,First Line,58,1047.5333333333,14,22,36,15.31,46.38,49.3,20,1999-01-04,CHE,CHE,73,175,2017,1,1,8480002.0
2019-2020,Nicolas Aube-Kubel,PHI,F,142.0,17.0,32.0,,332.0,18.0,152.0,111.0,66.0,286.0,39.0,28.0,,254.0,Fourth Line,36,406.43333333333,7,8,15,5.41,54.55,54.06,23,1996-05-10,CAN,CAN,72,207,2014,2,48,8477979.0
2019-2020,Nicolas Deslauriers,ANA,F,338.0,166.0,,,367.0,285.0,230.0,276.0,356.0,324.0,387.0,4.0,,384.0,Fourth Line,59,577.06666666667,7,6,13,5.51,48.89,43.28,28,1991-02-22,CAN,CAN,73,220,2009,3,84,8475235.0
2019-2020,Nicolas Roy,VGK,F,83.0,23.0,,,24.0,6.0,110.0,91.0,191.0,60.0,376.0,106.0,84.0,291.0,Fourth Line,28,320.01666666667,5,5,10,4.63,56.00,59.56,22,1997-02-05,CAN,CAN,76,202,2015,4,96,8478462.0
2019-2020,Nikita Gusev,NJD,F,43.0,418.0,115.0,,168.0,395.0,46.0,229.0,8.0,341.0,45.0,410.0,,123.0,Third Line,66,969.75,13,31,44,14.39,46.25,47.11,27,1992-07-08,RUS,RUS,69,163,2012,7,202,8477038.0
2019-2020,Nikita Kucherov,TBL,F,9.0,334.0,36.0,,17.0,176.0,42.0,11.0,22.0,40.0,262.0,358.0,,9.0,First Line,68,1282.7,33,52,85,20.82,64.84,56.86,26,1993-06-17,RUS,RUS,71,181,2011,2,58,8476453.0
2019-2020,Nikolai Prokhorkin,LAK,F,189.0,263.0,,,166.0,243.0,164.0,368.0,81.0,105.0,170.0,206.0,115.0,327.0,Fourth Line,43,519.95,4,10,14,6.12,33.33,49.98,25,1993-09-17,RUS,RUS,75,190,2012,4,121,8476947.0
2019-2020,Nikolaj Ehlers,WPG,F,35.0,273.0,176.0,,162.0,218.0,27.0,39.0,40.0,79.0,6.0,345.0,,68.0,Second Line,71,1173.1666666667,25,33,58,16.14,56.32,47.02,23,1996-02-14,DNK,DNK,72,169,2014,1,9,8477940.0
2019-2020,Nino Niederreiter,CAR,F,178.0,143.0,77.0,,46.0,64.0,154.0,198.0,318.0,157.0,320.0,233.0,,182.0,Third Line,67,992.61666666667,11,18,29,14.64,48.39,54.35,26,1992-09-08,CHE,CHE,74,218,2010,1,5,8475799.0
2019-2020,Noah Gregor,SJS,F,391.0,413.0,,,312.0,416.0,167.0,338.0,419.0,63.0,343.0,55.0,,394.0,Fourth Line,28,281.65,3,2,5,3.25,39.29,44.12,21,1998-07-28,CAN,CAN,72,190,2016,4,111,8479393.0
2019-2020,Noel Acciari,FLA,F,233.0,39.0,,99.0,286.0,226.0,219.0,48.0,369.0,402.0,208.0,50.0,74.0,206.0,Second Line,66,1052.2833333333,20,7,27,11.87,50.00,48.71,27,1991-12-01,USA,USA,70,209,-,-,-,8478569.0
2019-2020,Oliver Bjorkstrand,CBJ,F,33.0,60.0,158.0,,140.0,29.0,24.0,7.0,122.0,140.0,106.0,285.0,,87.0,Second Line,49,879.13333333333,21,15,36,15.01,61.67,60.05,24,1995-04-10,DNK,DNK,72,175,2013,3,89,8477416.0
2019-2020,Ondrej Kase,ANA,F,37.0,192.0,223.0,,72.0,165.0,7.0,80.0,128.0,47.0,11.0,382.0,,132.0,Second Line,55,909.85,7,17,24,11.5,49.21,50.22,23,1995-11-08,CZE,CZE,72,187,2014,7,205,8478131.0
2019-2020,Ondrej Kase,BOS,F,37.0,192.0,223.0,,72.0,165.0,7.0,80.0,128.0,47.0,11.0,382.0,,132.0,Second Line,55,909.85,7,17,24,11.5,49.21,50.22,23,1995-11-08,CZE,CZE,72,187,2014,7,205,8478131.0
2019-2020,Ondrej Palat,TBL,F,183.0,63.0,101.0,9.0,85.0,75.0,184.0,258.0,138.0,101.0,176.0,93.0,,151.0,Second Line,69,1117.1,17,24,41,14.86,63.75,55.21,28,1991-03-28,CZE,CZE,72,194,2011,7,208,8476292.0
2019-2020,Oskar Lindblom,PHI,F,41.0,92.0,225.0,132.0,121.0,130.0,82.0,38.0,60.0,109.0,123.0,218.0,,144.0,Second Line,30,528.25,11,7,18,7.21,52.50,54.48,23,1996-08-15,SWE,SWE,73,191,2014,5,138,8478067.0
2019-2020,Oskar Sundqvist,STL,F,197.0,62.0,,51.0,272.0,144.0,180.0,98.0,226.0,353.0,224.0,171.0,150.0,252.0,Third Line,57,819.68333333333,12,11,23,11.04,51.92,50.1,25,1994-03-23,SWE,SWE,75,220,2012,3,81,8476897.0
2019-2020,Par Lindholm,BOS,F,394.0,7.0,,23.0,344.0,4.0,385.0,384.0,359.0,385.0,129.0,234.0,119.0,392.0,Fourth Line,40,449.78333333333,3,3,6,3.09,73.33,56.62,27,1991-10-05,SWE,SWE,72,183,-,-,-,8480944.0
2019-2020,Patric Hornqvist,PIT,F,60.0,37.0,37.0,,240.0,129.0,19.0,25.0,232.0,155.0,21.0,71.0,,61.0,Second Line,52,828.46666666667,17,15,32,22.1,63.04,51.93,32,1987-01-01,SWE,SWE,71,189,2005,7,230,8471887.0
2019-2020,Patrice Bergeron,BOS,F,36.0,21.0,17.0,34.0,45.0,41.0,32.0,36.0,148.0,26.0,334.0,283.0,1.0,13.0,First Line,61,1143.0666666667,31,25,56,23.04,63.01,57.5,34,1985-07-24,CAN,CAN,73,196,2003,2,45,8470638.0
2019-2020,Patrick Kane,CHI,F,27.0,410.0,48.0,,147.0,410.0,35.0,50.0,17.0,43.0,97.0,404.0,,7.0,First Line,70,1493.85,33,51,84,23.55,59.00,45.49,30,1988-11-19,USA,USA,70,177,2007,1,1,8474141.0
2019-2020,Patrick Marleau,PIT,F,238.0,320.0,199.0,,107.0,371.0,232.0,228.0,314.0,178.0,236.0,248.0,,212.0,Second Line,66,1028.0666666667,11,11,22,13.22,46.99,48.98,39,1979-09-15,CAN,CAN,74,215,1997,1,2,8466139.0
2019-2020,Patrick Marleau,SJS,F,238.0,320.0,199.0,,107.0,371.0,232.0,228.0,314.0,178.0,236.0,248.0,,212.0,Second Line,66,1028.0666666667,11,11,22,13.22,46.99,48.98,39,1979-09-15,CAN,CAN,74,215,1997,1,2,8466139.0
2019-2020,Patrick Maroon,TBL,F,240.0,164.0,195.0,,173.0,52.0,321.0,209.0,229.0,197.0,353.0,56.0,,297.0,Fourth Line,64,794.48333333333,9,14,23,9.94,58.00,54.01,31,1988-04-23,USA,USA,75,234,2007,6,161,8474034.0
2019-2020,Patrick Russell,EDM,F,381.0,66.0,,,396.0,59.0,205.0,417.0,281.0,400.0,373.0,90.0,,401.0,Fourth Line,45,511.35,0,5,5,6.93,31.03,52.17,26,1993-01-04,DNK,DNK,73,203,-,-,-,8479466.0
2019-2020,Patrik Laine,WPG,F,143.0,408.0,34.0,,303.0,404.0,80.0,108.0,168.0,70.0,181.0,197.0,,32.0,First Line,68,1319.8833333333,28,35,63,21.1,51.96,42.42,21,1998-04-19,FIN,FIN,77,205,2016,1,2,8479339.0
2019-2020,Paul Byron,MTL,F,204.0,159.0,,52.0,70.0,128.0,361.0,187.0,178.0,204.0,47.0,94.0,,248.0,Third Line,29,415.46666666667,4,6,10,3.5,59.09,51.72,30,1989-04-27,CAN,CAN,69,164,2007,6,179,8474038.0
2019-2020,Paul Stastny,VGK,F,87.0,68.0,151.0,166.0,16.0,89.0,261.0,131.0,107.0,268.0,284.0,273.0,37.0,141.0,Second Line,71,1216.0,17,21,38,19.88,50.00,56.87,33,1985-12-27,CAN,USA,72,193,2005,2,44,8471669.0
2019-2020,Pavel Buchnevich,NYR,F,101.0,399.0,125.0,,79.0,361.0,170.0,162.0,80.0,259.0,133.0,208.0,,135.0,Second Line,68,1151.2166666667,16,30,46,16.03,55.10,51.9,24,1995-04-17,RUS,RUS,73,196,2013,3,75,8477402.0
2019-2020,Pavel Zacha,NJD,F,372.0,411.0,132.0,25.0,326.0,405.0,391.0,389.0,295.0,317.0,239.0,200.0,165.0,227.0,Second Line,65,1057.3833333333,8,24,32,10.04,40.00,42.29,22,1997-04-06,CZE,CZE,76,199,2015,1,6,8478401.0
2019-2020,Phil Kessel,ARI,F,186.0,398.0,83.0,,215.0,316.0,134.0,297.0,97.0,9.0,328.0,415.0,,93.0,Second Line,70,1200.4,14,24,38,13.78,40.63,48.72,31,1987-10-02,USA,USA,71,208,2006,1,5,8473548.0
2019-2020,Phillip Danault,MTL,F,72.0,148.0,248.0,157.0,2.0,94.0,284.0,249.0,46.0,371.0,300.0,155.0,17.0,154.0,First Line,71,1337.9333333333,13,34,47,14.59,60.20,59.7,26,1993-02-24,CAN,CAN,73,200,2011,1,26,8476479.0
2019-2020,Pierre Engvall,TOR,F,193.0,333.0,,6.0,230.0,105.0,131.0,168.0,228.0,354.0,79.0,259.0,,313.0,Fourth Line,48,572.81666666667,8,7,15,8.17,52.63,50.57,23,1996-05-31,SWE,SWE,77,219,2014,7,188,8478115.0
2019-2020,Pierre-Edouard Bellemare,COL,F,283.0,4.0,,76.0,113.0,33.0,242.0,354.0,333.0,329.0,169.0,246.0,21.0,314.0,Fourth Line,69,925.98333333333,9,13,22,6.02,50.00,53.67,34,1985-03-06,FRA,FRA,71,198,-,-,-,8477930.0
2019-2020,Pierre-Luc Dubois,CBJ,F,88.0,139.0,205.0,,67.0,162.0,168.0,76.0,117.0,4.0,156.0,178.0,170.0,97.0,Second Line,70,1255.2333333333,18,31,49,16.39,51.22,54.11,21,1998-06-24,CAN,CAN,76,214,2016,1,3,8479400.0
2019-2020,Radek Faksa,DAL,F,286.0,99.0,173.0,111.0,297.0,184.0,299.0,247.0,265.0,410.0,358.0,169.0,92.0,243.0,Second Line,66,1048.8166666667,11,9,20,14.25,46.55,50.7,25,1994-01-09,CZE,CZE,75,225,2012,1,13,8476889.0
2019-2020,Rasmus Asplund,BUF,F,410.0,322.0,,119.0,322.0,182.0,264.0,409.0,418.0,387.0,276.0,224.0,168.0,413.0,Fourth Line,29,314.18333333333,1,2,3,2.58,38.89,46.53,21,1997-12-03,SWE,SWE,71,185,2016,2,33,8479335.0
2019-2020,Reilly Smith,VGK,F,49.0,147.0,100.0,31.0,48.0,166.0,99.0,59.0,73.0,199.0,291.0,328.0,,81.0,Second Line,71,1271.6666666667,27,27,54,21.62,53.33,54.18,28,1991-04-01,CAN,CAN,73,185,2009,3,69,8475191.0
2019-2020,Richard Panik,WSH,F,136.0,191.0,,,86.0,140.0,208.0,134.0,175.0,214.0,305.0,111.0,,258.0,Fourth Line,59,668.86666666667,9,13,22,6.01,65.38,51.47,28,1991-02-07,SVK,SVK,73,203,2009,2,52,8475209.0
2019-2020,Rickard Rakell,ANA,F,128.0,396.0,81.0,,192.0,373.0,52.0,148.0,204.0,134.0,62.0,199.0,,82.0,First Line,65,1180.3333333333,15,27,42,21.17,47.19,48.15,26,1993-05-05,SWE,SWE,73,195,2011,1,30,8476483.0
2019-2020,Riley Nash,CBJ,F,370.0,1.0,,35.0,392.0,9.0,364.0,395.0,213.0,362.0,296.0,166.0,118.0,368.0,Fourth Line,64,757.98333333333,5,9,14,5.36,55.00,50.84,30,1989-05-09,CAN,CAN,74,188,2007,1,21,8474062.0
2019-2020,Riley Sheahan,EDM,F,384.0,212.0,,82.0,383.0,290.0,341.0,347.0,363.0,403.0,126.0,290.0,52.0,351.0,Fourth Line,66,844.33333333333,8,7,15,9.01,31.48,44.81,27,1991-12-07,CAN,CAN,74,214,2010,1,21,8475772.0
2019-2020,Robby Fabbri,DET,F,315.0,409.0,251.0,,333.0,367.0,278.0,273.0,298.0,174.0,22.0,189.0,,234.0,Second Line,61,985.06666666667,15,17,32,10.32,37.50,43.51,23,1996-01-22,CAN,CAN,71,185,2014,1,21,8477952.0
2019-2020,Robby Fabbri,STL,F,315.0,409.0,251.0,,333.0,367.0,278.0,273.0,298.0,174.0,22.0,189.0,,234.0,Second Line,61,985.06666666667,15,17,32,10.32,37.50,43.51,23,1996-01-22,CAN,CAN,71,185,2014,1,21,8477952.0
2019-2020,Robert Thomas,STL,F,173.0,69.0,165.0,,216.0,36.0,383.0,306.0,13.0,165.0,274.0,408.0,149.0,218.0,Third Line,66,961.2,10,32,42,9.27,61.97,51.06,20,1999-07-02,CAN,CAN,72,218,2017,1,20,8480023.0
2019-2020,Rocco Grimaldi,NSH,F,46.0,239.0,,,51.0,264.0,55.0,180.0,37.0,255.0,23.0,341.0,,256.0,Fourth Line,66,834.88333333333,10,21,31,10.82,58.11,52.63,26,1993-02-08,USA,USA,66,180,2011,2,33,8476428.0
2019-2020,Roope Hintz,DAL,F,185.0,140.0,58.0,,165.0,136.0,148.0,84.0,309.0,166.0,34.0,139.0,69.0,165.0,Third Line,60,884.13333333333,19,14,33,14.33,55.10,53.07,22,1996-11-17,FIN,FIN,75,215,2015,2,49,8478449.0
2019-2020,Ryan Carpenter,CHI,F,346.0,190.0,,120.0,181.0,196.0,243.0,398.0,378.0,297.0,193.0,79.0,114.0,350.0,Third Line,69,971.06666666667,3,12,15,9.28,41.51,47.1,28,1991-01-18,USA,USA,73,198,-,-,-,8477846.0
2019-2020,Ryan Donato,MIN,F,89.0,85.0,,,235.0,68.0,33.0,15.0,320.0,114.0,38.0,222.0,,226.0,Fourth Line,62,659.36666666667,14,9,23,10.33,55.56,55.03,23,1996-04-09,USA,USA,72,190,2014,2,56,8477987.0
2019-2020,Ryan Dzingel,CAR,F,235.0,323.0,191.0,,295.0,306.0,305.0,280.0,87.0,110.0,293.0,272.0,,181.0,Third Line,64,905.88333333333,8,21,29,13.66,51.92,46.36,27,1992-03-09,USA,USA,72,190,2011,7,204,8476288.0
2019-2020,Ryan Getzlaf,ANA,F,196.0,300.0,204.0,,66.0,366.0,312.0,286.0,115.0,289.0,388.0,108.0,48.0,96.0,First Line,69,1292.1666666667,13,29,42,13.39,43.82,48.91,34,1985-05-10,CAN,CAN,76,220,2003,1,19,8470612.0
2019-2020,Ryan Hartman,MIN,F,148.0,25.0,,4.0,178.0,83.0,78.0,207.0,183.0,282.0,307.0,177.0,,259.0,Fourth Line,69,845.63333333333,9,11,20,10.12,52.17,57.02,24,1994-09-20,USA,USA,72,197,2013,1,30,8477451.0
2019-2020,Ryan Johansen,NSH,F,227.0,313.0,229.0,16.0,55.0,327.0,369.0,223.0,217.0,62.0,383.0,253.0,24.0,169.0,Second Line,68,1159.75,14,22,36,12.98,50.70,49.87,27,1992-07-31,CAN,CAN,75,218,2010,1,4,8475793.0
2019-2020,Ryan Nugent-Hopkins,EDM,F,109.0,245.0,60.0,90.0,237.0,326.0,150.0,81.0,75.0,208.0,295.0,314.0,97.0,40.0,First Line,65,1330.3333333333,22,39,61,17.38,57.69,49.83,26,1993-04-12,CAN,CAN,72,195,2011,1,1,8476454.0
2019-2020,Ryan O'Reilly,STL,F,210.0,20.0,91.0,110.0,194.0,38.0,333.0,288.0,54.0,344.0,73.0,403.0,3.0,67.0,First Line,71,1460.75,12,49,61,14.31,61.18,52.04,28,1991-02-07,CAN,CAN,73,207,2009,2,33,8475158.0
2019-2020,Ryan Poehling,MTL,F,375.0,211.0,,,258.0,234.0,326.0,403.0,387.0,292.0,345.0,85.0,,416.0,Fourth Line,27,279.21666666667,1,1,2,2.73,33.33,47.34,20,1999-01-03,USA,USA,74,196,2017,1,25,8480068.0
2019-2020,Ryan Reaves,VGK,F,259.0,41.0,,,106.0,67.0,365.0,251.0,259.0,95.0,350.0,1.0,,395.0,Fourth Line,71,720.11666666667,8,7,15,7.93,44.64,54.66,32,1987-01-20,CAN,CAN,74,225,2005,5,156,8471817.0
2019-2020,Ryan Strome,NYR,F,166.0,395.0,108.0,175.0,82.0,349.0,313.0,261.0,77.0,243.0,409.0,261.0,127.0,130.0,First Line,70,1371.0333333333,18,41,59,19.55,61.96,53.3,26,1993-07-11,CAN,CAN,73,191,2011,1,5,8476458.0
2019-2020,Sam Bennett,CGY,F,155.0,224.0,207.0,,115.0,177.0,149.0,136.0,255.0,207.0,408.0,70.0,76.0,305.0,Fourth Line,52,650.58333333333,8,4,12,8.56,48.57,52.52,23,1996-06-20,CAN,CAN,73,195,2014,1,4,8477935.0
2019-2020,Sam Gagner,DET,F,208.0,397.0,141.0,,100.0,321.0,79.0,346.0,273.0,156.0,364.0,306.0,,245.0,Fourth Line,42,560.66666666667,6,7,13,7.2,39.02,51.67,30,1989-08-10,CAN,CAN,71,201,2007,1,6,8474040.0
2019-2020,Sam Gagner,EDM,F,208.0,397.0,141.0,,100.0,321.0,79.0,346.0,273.0,156.0,364.0,306.0,,245.0,Fourth Line,42,560.66666666667,6,7,13,7.2,39.02,51.67,30,1989-08-10,CAN,CAN,71,201,2007,1,6,8474040.0
2019-2020,Sam Lafferty,PIT,F,250.0,45.0,,,407.0,26.0,214.0,227.0,72.0,377.0,377.0,33.0,65.0,367.0,Fourth Line,50,481.03333333333,6,7,13,5.07,53.85,46.77,24,1995-03-06,USA,USA,73,195,2014,4,113,8478043.0
2019-2020,Sam Reinhart,BUF,F,184.0,225.0,184.0,,242.0,180.0,263.0,120.0,125.0,39.0,82.0,366.0,,99.0,First Line,69,1423.3666666667,22,28,50,16.73,50.53,46.78,23,1995-11-06,CAN,CAN,74,193,2014,1,2,8477933.0
2019-2020,Sam Steel,ANA,F,373.0,387.0,65.0,,315.0,362.0,380.0,357.0,366.0,22.0,317.0,374.0,86.0,273.0,Second Line,65,1010.7,6,16,22,10.42,41.82,47.12,21,1998-02-03,CAN,CAN,71,184,2016,1,30,8479351.0
2019-2020,Sammy Blais,STL,F,289.0,122.0,,,345.0,44.0,281.0,211.0,264.0,122.0,91.0,6.0,,355.0,Fourth Line,40,503.1,6,7,13,5.87,50.00,49.67,23,1996-06-17,CAN,CAN,74,206,2014,6,176,8478104.0
2019-2020,Scott Laughton,PHI,F,223.0,257.0,,48.0,336.0,252.0,268.0,77.0,202.0,367.0,375.0,64.0,49.0,208.0,Third Line,49,715.75,13,14,27,7.29,61.11,46.65,25,1994-05-30,CAN,CAN,73,190,2012,1,20,8476872.0
2019-2020,Sean Couturier,PHI,F,81.0,171.0,116.0,44.0,87.0,100.0,174.0,66.0,103.0,290.0,167.0,296.0,10.0,42.0,First Line,69,1368.3833333333,22,37,59,21.87,61.80,55.81,26,1992-12-07,USA,CAN,75,211,2011,1,8,8476461.0
2019-2020,Sean Kuraly,BOS,F,321.0,189.0,,143.0,327.0,172.0,145.0,370.0,299.0,396.0,315.0,60.0,56.0,300.0,Fourth Line,69,917.03333333333,6,17,23,7.5,48.21,46.22,26,1993-01-20,USA,USA,74,213,2011,5,133,8476374.0
2019-2020,Sean Monahan,CGY,F,110.0,312.0,70.0,,125.0,342.0,138.0,92.0,155.0,73.0,127.0,275.0,59.0,64.0,First Line,70,1267.1166666667,22,26,48,21.95,44.05,48.43,24,1994-10-12,CAN,CAN,74,196,2013,1,6,8477497.0
2019-2020,Sebastian Aho,CAR,F,31.0,259.0,21.0,7.0,13.0,209.0,101.0,19.0,68.0,49.0,191.0,295.0,146.0,24.0,First Line,68,1320.8166666667,38,28,66,30.95,53.54,53.65,22,1997-07-26,FIN,FIN,72,176,2015,2,35,8478427.0
2019-2020,Sidney Crosby,PIT,F,21.0,305.0,18.0,,21.0,281.0,141.0,88.0,6.0,11.0,111.0,280.0,11.0,16.0,First Line,41,830.91666666667,16,31,47,12.67,50.00,51.47,32,1987-08-07,CAN,CAN,71,200,2005,1,1,8471675.0
